Designator,Footprint,Quantity,Value,LCSC Part #
C1,C0603,1,10 uF,C19702
J1,M.2-CARD-E-22_MEMORY_STANDARD,1,~,
"R1, R2, R3, R4, R5",R0603,5,10 kOhm,C25804
U1,MB85RC256_FRAM,1,MB85RC256VPNF-G-JNERE1,C47538
"U2, U3, U4, U5",SMD_slide_switch,4,MS-1290N,C19188866
