Designator,Mid X,Mid Y,Rotation,Layer
C1,10.75,18.25,0.0,top
J1,12.75,13.010299,0.0,top
R1,15.25,16.5,180.0,top
R2,15.25,18.0,180.0,top
R3,10.75,16.5,0.0,top
R4,10.75,15.0,180.0,top
R5,15.25,15.0,0.0,top
U1,13.0,11.0,270.0,top
U2,5.875032,18.500152,270.0,top
U3,5.876505,11.100076,270.0,top
U4,19.623495,11.1,90.0,top
U5,19.624968,18.499924,90.0,top
